,Cluster
0,2
1,4
2,2
3,2
4,2
5,2
6,-1
7,4
8,3
9,2
10,-1
11,2
12,2
13,2
14,2
15,2
16,2
17,4
18,2
19,2
20,-1
21,2
22,2
23,4
24,2
25,2
26,-1
27,4
28,-1
29,2
30,-1
31,2
32,2
33,3
34,2
35,3
36,2
37,4
38,4
39,4
40,4
41,4
42,-1
43,-1
44,4
45,2
46,1
47,2
48,3
49,-1
50,2
51,4
52,-1
53,1
54,2
55,4
56,-1
57,1
58,3
59,3
60,2
61,3
62,-1
63,2
64,-1
65,2
66,1
67,3
68,4
69,-1
70,-1
71,-1
72,1
73,4
74,3
75,4
76,4
77,2
78,-1
79,2
80,-1
81,4
82,3
83,2
84,4
85,-1
86,2
87,4
88,-1
89,-1
90,4
91,-1
92,-1
93,-1
94,4
95,4
96,2
97,4
98,4
99,3
100,-1
101,-1
102,-1
103,4
104,4
105,1
106,4
107,2
108,2
109,4
110,3
111,2
112,4
113,4
114,2
115,-1
116,-1
117,2
118,2
119,4
120,4
121,3
122,1
123,0
124,-1
125,1
126,1
127,4
128,0
129,-1
130,-1
131,0
132,0
133,2
134,4
135,3
136,4
137,4
138,4
139,4
140,4
141,2
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,2
150,4
151,4
152,4
153,4
154,4
155,-1
156,4
157,3
158,4
159,4
160,4
161,4
162,-1
163,4
164,4
165,4
166,-1
167,-1
168,4
169,4
170,4
171,4
172,4
173,4
174,4
175,4
176,4
177,-1
178,4
179,4
180,2
181,4
182,4
183,4
184,4
185,4
186,4
187,-1
188,4
189,4
190,4
191,4
192,4
193,4
194,4
195,4
196,-1
197,4
198,4
199,4
200,-1
201,4
202,-1
203,4
204,4
205,4
206,4
207,4
208,2
209,4
210,4
211,-1
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
223,4
224,4
225,-1
226,4
227,4
228,-1
229,4
230,4
231,4
232,4
233,-1
234,4
235,0
236,4
237,-1
238,3
239,-1
240,-1
241,3
242,2
243,4
244,-1
245,4
246,-1
247,4
248,4
249,-1
250,4
251,4
252,4
253,4
254,-1
255,-1
256,4
257,4
258,4
259,4
260,4
261,3
262,4
263,4
264,4
265,4
266,3
267,4
268,4
269,-1
270,4
271,4
272,4
273,3
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,-1
282,1
283,-1
284,-1
285,4
286,-1
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,4
295,4
296,4
297,4
298,4
299,4
300,4
301,4
302,-1
303,4
304,4
305,4
306,4
307,4
308,4
309,3
310,-1
311,4
312,4
313,4
314,4
315,-1
316,4
317,4
318,4
319,4
320,4
321,4
322,4
323,4
324,4
325,4
326,4
327,-1
328,3
329,-1
330,4
331,3
332,4
333,4
334,-1
335,4
336,4
337,4
338,4
339,4
340,4
341,4
342,4
343,4
344,4
345,-1
346,4
347,-1
348,4
349,-1
350,3
351,-1
352,-1
353,4
354,4
355,-1
356,4
357,-1
358,-1
359,4
360,4
361,4
362,0
