,V1,V2,k1$cluster
D19_1,-1.47268704694142,-4.76521789968668,3
D19_10,1.08323679671226,3.160249477784,1
D19_100,0.756240353228465,-1.24295746533981,2
D19_101,0.495016185187447,-0.165444645818228,2
D19_102,-1.32289860200127,-0.786515324086329,2
D19_103,-0.0845473117188331,-7.40945387158363,3
D19_104,1.00459010985628,-1.50970712593209,1
D19_105,-0.936780503999103,-3.97508631498752,1
D19_106,-0.966715539291544,-3.9876521504899,3
D19_107,-1.51097072882234,-4.8572858764643,3
D19_108,-0.583089017077376,-4.04704836884526,3
D19_109,-0.0197805151829406,-5.18157148254517,3
D19_11,-1.72788156600109,2.91134542493355,1
D19_110,-1.5398989108926,-5.70274536791443,3
D19_111,0.0130258439548029,3.99631144293885,1
D19_112,-1.50795491917502,-4.73282105455634,3
D19_113,0.422077114553288,3.44157977003377,1
D19_114,2.14144705745711,1.67875444274039,2
D19_115,0.456222247180875,1.20140760869742,2
D19_116,1.41113436953724,4.54556330645046,1
D19_117,0.0745408643995609,-4.38093071737646,3
D19_118,-1.38090380108309,4.3917513611153,1
D19_119,2.08772429879307,2.05215100991323,2
D19_12,2.10600168590525,4.13274533831531,1
D19_120,-0.0412869636325964,3.60611695368969,1
D19_121,1.4008591958691,4.48761645919098,1
D19_122,-0.872842241983191,-3.89987140038952,2
D19_123,-0.741422867475467,-4.44579942643363,3
D19_124,-1.13743392710874,4.76270066732159,1
D19_125,0.200673587063524,3.43157466605747,1
D19_126,1.65704457441748,2.25606423378889,2
D19_127,1.43470212528046,2.85712685828446,2
D19_128,-0.716487408456238,4.91063133425827,1
D19_129,-0.108426799244997,-4.57038254055362,3
D19_13,-1.45762651252493,2.79051070282841,1
D19_130,1.78670823447819,4.18688210817891,1
D19_131,1.14418862579299,4.24352701514375,1
D19_132,1.59901579753085,4.19861340650745,1
D19_133,0.899569618882208,3.23935387385261,1
D19_134,-1.35453426545343,-4.69230309354648,3
D19_135,1.67479237701424,4.404462246758,1
D19_136,1.49575597346663,3.14596189873893,1
D19_137,-1.28220589233726,0.79242501480474,2
D19_138,-0.658088147305265,4.9047563769679,1
D19_139,-0.559388686045965,4.96774893781209,1
D19_14,0.279017141370114,4.83956531904218,1
D19_140,-0.997691835851176,2.16766122152453,2
D19_141,-0.413210208161263,-0.193314183147675,2
D19_142,-1.46438203458714,2.17068914650362,1
D19_143,0.655314072729232,2.20651501805582,2
D19_144,-1.1613525211081,0.874790722183761,2
D19_145,-1.08179475396831,4.70549800030008,1
D19_146,2.14483692568004,1.88855498780335,2
D19_147,1.63937291972356,4.18768540830254,1
D19_148,-0.276904201383158,5.072411812814,1
