,x
D6_1,3
D6_2,2
D6_3,3
D6_4,3
D6_5,3
D6_6,3
D6_7,3
D6_8,1
D6_9,3
D6_10,3
D6_11,2
D6_12,3
D6_13,3
D6_14,3
D6_15,3
D6_16,3
D6_17,3
D6_18,1
D6_19,3
D6_20,3
D6_21,3
D6_22,3
D6_23,3
D6_24,1
D6_25,3
D6_26,3
D6_27,3
D6_28,2
D6_29,3
D6_30,3
D6_31,3
D6_32,3
D6_33,3
D6_34,3
D6_35,3
D6_36,2
D6_37,3
D6_38,1
D6_39,2
D6_40,2
D6_41,2
D6_42,2
D6_43,3
D6_44,2
D6_45,1
D6_46,3
D6_47,2
D6_48,3
D6_49,2
D6_50,3
D6_51,3
D6_52,2
D6_53,2
D6_54,2
D6_55,3
D6_56,2
D6_57,2
D6_58,2
D6_59,3
D6_60,2
D6_61,3
D6_62,3
D6_63,3
D6_64,2
D6_65,2
D6_66,3
D6_67,2
D6_68,2
D6_69,1
D6_70,1
D6_71,2
D6_72,2
D6_73,2
D6_74,2
D6_75,3
D6_76,1
D6_77,2
D6_78,3
D6_79,3
D6_80,3
D6_81,3
D6_82,1
D6_83,2
D6_84,3
D6_85,2
D6_86,3
D6_87,3
D6_88,2
D6_89,3
D6_90,3
D6_91,1
D6_92,2
D6_93,2
D6_94,2
D6_95,2
D6_96,1
D6_97,3
D6_98,2
D6_99,2
D6_100,2
D6_101,3
D6_102,2
D6_103,3
D6_104,1
D6_105,2
D6_106,2
D6_107,1
D6_108,3
D6_109,3
D6_110,1
D6_111,2
D6_112,3
D6_113,2
D6_114,1
D6_115,3
D6_116,2
D6_117,3
D6_118,3
D6_119,3
D6_120,2
D6_121,2
D6_122,2
D6_123,2
D6_124,3
D6_125,3
D6_126,3
D6_127,2
D6_128,2
D6_129,3
D6_130,3
D6_131,3
D6_132,3
D6_133,3
D19_1,3
D19_2,1
D19_3,2
D19_4,1
D19_5,1
D19_6,1
D19_7,1
D19_8,1
D19_9,3
D19_10,1
D19_11,1
D19_12,1
D19_13,1
D19_14,1
D19_15,1
D19_16,1
D19_17,3
D19_18,2
D19_19,1
D19_20,1
D19_21,1
D19_22,1
D19_23,1
D19_24,1
D19_25,3
D19_26,1
D19_27,1
D19_28,1
D19_29,1
D19_30,2
D19_31,2
D19_32,1
D19_33,1
D19_34,2
D19_35,2
D19_36,1
D19_37,3
D19_38,2
D19_39,2
D19_40,1
D19_41,1
D19_42,1
D19_43,2
D19_44,1
D19_45,1
D19_46,1
D19_47,1
D19_48,3
D19_49,1
D19_50,1
D19_51,2
D19_52,1
D19_53,1
D19_54,1
D19_55,2
D19_56,1
D19_57,2
D19_58,1
D19_59,1
D19_60,1
D19_61,1
D19_62,1
D19_63,1
D19_64,1
D19_65,1
D19_66,1
D19_67,1
D19_68,1
D19_69,1
D19_70,3
D19_71,2
D19_72,1
D19_73,1
D19_74,1
D19_75,2
D19_76,3
D19_77,3
D19_78,1
D19_79,1
D19_80,1
D19_81,1
D19_82,1
D19_83,1
D19_84,1
D19_85,1
D19_86,1
D19_87,1
D19_88,2
D19_89,2
D19_90,1
D19_91,1
D19_92,1
D19_93,3
D19_94,1
D19_95,1
D19_96,3
D19_97,2
D19_98,2
D19_99,2
D19_100,2
D19_101,2
D19_102,2
D19_103,3
D19_104,2
D19_105,3
D19_106,3
D19_107,3
D19_108,3
D19_109,3
D19_110,3
D19_111,1
D19_112,3
D19_113,1
D19_114,1
D19_115,2
D19_116,1
D19_117,3
D19_118,1
D19_119,1
D19_120,1
D19_121,1
D19_122,3
D19_123,3
D19_124,1
D19_125,1
D19_126,1
D19_127,1
D19_128,1
D19_129,3
D19_130,1
D19_131,1
D19_132,1
D19_133,1
D19_134,3
D19_135,1
D19_136,1
D19_137,2
D19_138,1
D19_139,1
D19_140,1
D19_141,2
D19_142,1
D19_143,1
D19_144,2
D19_145,1
D19_146,1
D19_147,1
D19_148,1
D19_149,1
D19_150,2
D19_151,1
D19_152,2
D19_153,1
D19_154,2
D19_155,1
D19_156,1
D19_157,1
D19_158,2
D19_159,1
D19_160,2
D19_161,1
D19_162,1
D19_163,1
D19_164,2
D19_165,2
D19_166,1
D19_167,1
D19_168,2
D19_169,1
D19_170,3
D19_171,1
D19_172,1
D19_173,2
D19_174,1
D19_175,2
D19_176,1
D19_177,2
D19_178,3
D19_179,2
D19_180,1
D19_181,2
D19_182,2
D19_183,1
D19_184,1
D19_185,1
D19_186,3
D19_187,1
D19_188,1
D19_189,1
D19_190,2
D19_191,1
D19_192,1
D19_193,1
D19_194,1
D19_195,2
D19_196,3
D19_197,1
D19_198,1
D19_199,3
D19_200,1
D19_201,1
D19_202,1
D19_203,3
D19_204,1
D19_205,1
D19_206,2
D19_207,1
D19_208,2
D19_209,1
D19_210,2
D19_211,2
D19_212,2
D19_213,2
D19_214,2
D19_215,1
D19_216,2
D19_217,3
D19_218,3
D19_219,1
D19_220,2
D19_221,1
D19_222,2
D19_223,2
D19_224,3
D19_225,2
D19_226,3
D19_227,2
D19_228,1
D19_229,2
D19_230,3
